19;20
"407.651136341533,-263.06838811244313";"9,11,6";"35,38,4"
"65.51726784380888,420.04106264116865";"3,4,5,20";"36,27,21,3"
"550.2806627202809,372.46683002441716";"13,3";"9,8"
"337.7186331998261,362.0119345130191";"1,2,8";"36,8,10"
"154.36716984945994,177.3224977321919";"1,12,8";"27,3,3"
"9.195200597553143,167.08738653714485";"1,17,20";"21,9,4"
"594.5772648380469,-251.257230189419";"7,0,15,18";"17,4,3,8"
"643.1541474940195,11.980523760605719";"6,13,14";"17,3,8"
"295.11841252238037,130.924279020641";"14,3,4,11";"6,10,3,25"
"118.02219118336562,-367.4824225827058";"0,10";"35,11"
"-49.499569324661174,-216.93595859641562";"12,11,9,17";"44,7,11,11"
"135.00450573452022,-116.1009362239705";"0,10,16,8";"38,7,20,25"
"119.12436394767421,31.24295110398652";"10,4";"44,3"
"670.0581825247995,179.46074237092537";"7,2";"3,9"
"459.88076588710675,66.17031535995116";"8,7";"6,8"
"491.8387239865451,-143.11046840805434";"16,6";"4,3"
"364.5242143758364,-44.39707438794661";"15,11";"4,20"
"-72.32004164388644,-10.471809112436016";"5,10,21";"9,11,18"
"772.2291511224377,-132.59929941121888";"6,19";"8,8"
"914.6788173550584,-286.9192426244152";"18";"8"
"-50.19841775070166,316.89695508568286";"1,5,21";"3,4,2"
"-143.42486635554175,212.7993353927096";"17,20";"18,2"
