3;13
"427.62483058580887,186.43640937882358";"1,5,10,4";"16,12,18,11"
"334.5446924373355,421.9168724421496";"0,2";"16,2"
"325.9426439618412,571.9043610370084";"1,3,16";"2,3,1"
"182.26093218006946,636.7159735893221";"2";"3"
"382.6131922646811,-43.61176422160271";"6,0,17";"4,11,2"
"250.1821451879656,300.0363968909357";"0,7";"12,21"
"561.8495600144437,-26.63969815317746";"4,8,9";"4,3,44"
"17.735215697345907,372.47063282563596";"5,14";"21,3"
"688.4240436778779,81.29785333926769";"6,10";"3,9"
"830.1890727332805,118.43575884326064";"6";"44"
"633.2630419123685,294.35319830249784";"0,16,8";"18,29,9"
"-121.96337280391114,414.92568953919715";"12,19,20";"4,10,35"
"-130.87375178881143,252.30517924029053";"11,13,14";"4,7,6"
"-258.80452153035174,105.94628742931118";"12,18";"7,4"
"66.20857798361958,228.41326572328455";"15,7,12";"22,3,6"
"84.88062770640909,-47.96830813217903";"14,18,17";"22,13,7"
"445.6800260501169,520.2973089472257";"10,2";"29,1"
"270.20345115880326,41.55561697046506";"15,4";"7,2"
"-111.99414791026715,35.62388807658816";"15,13";"13,4"
"-295.5245786829193,518.3754340683417";"11";"10"
"-354.0527222995627,230.94976108102105";"11";"35"
